Name,Score,Health,Time,Exp,Level,Distance,Map
BENNY,0,54,Sat May  8 02:58:13 2021,0,0.0,308,0
FADWA,2,0,Sat May  8 02:59:12 2021,25,0.0,1047,0
,0,0,Sat May  8 03:15:07 2021,50,0.0,2647,0
benny,0,54,Sat May  8 03:55:19 2021,50,0.0,283,0
,0,0,Sat May  8 03:56:41 2021,75,0.0,698,0
,0,0,Sat May  8 03:58:42 2021,100,0.0,541,0
benny,0,0,Sat May  8 04:03:02 2021,125,0.0,658,0
benny,0,0,Sat May  8 04:04:15 2021,150,0.0,431,0
diwaj,6,0,Sat May  8 04:06:20 2021,175,0.0,972,0
benny,0,0,Sat May  8 04:08:46 2021,200,0.0,670,0
dwa,0,0,Sat May  8 04:10:22 2021,225,0.0,525,1
benny,18,0,Sat May  8 10:34:06 2021,250,0.0,1224,0
benny,28,0,Sat May  8 10:37:34 2021,275,0.0,856,0
benny,0,0,Sat May  8 10:38:55 2021,300,0.0,349,0
benny,0,0,Sat May  8 10:44:58 2021,325,0.0,1765,0
iji,0,0,Sat May  8 10:46:33 2021,350,0.0,448,0
benny,38,0,Sat May  8 10:50:06 2021,375,0.0,1416,2
benny,0,0,Sat May  8 10:54:08 2021,400,0.0,120,0
,0,60,Sat May  8 10:55:26 2021,400,0.0,111,0
jhujk,0,0,Sat May  8 10:56:02 2021,425,0.0,124,0
djiaji,0,0,Sat May  8 10:57:28 2021,450,0.0,589,0
benny,0,0,Sat May  8 11:00:33 2021,475,0.0,157,0
benny,11,0,Sat May  8 11:05:00 2021,500,0.0,1145,0
benny,0,0,Sat May  8 11:19:46 2021,525,0.0,118,0
benny,8,30,Sat May  8 11:21:33 2021,525,0.0,397,0
benny,2,0,Sat May  8 11:28:38 2021,550,0.0,419,0
benny,10,0,Sat May  8 11:30:21 2021,575,0.0,622,0
benny,3,0,Sat May  8 11:37:35 2021,600,0.0,373,0
djwai,1,0,Sat May  8 11:39:38 2021,625,0.0,121,0
benny,4,0,Sat May  8 11:40:53 2021,650,0.0,578,0
benny,7,0,Sat May  8 11:41:41 2021,675,0.0,545,1
hi,5,0,Sat May  8 11:43:27 2021,700,0.0,212,2
,0,0,Sat May  8 11:44:03 2021,725,0.0,355,2
bennymak,10,0,Sat May  8 12:00:57 2021,750,0.0,487,0
,3,0,Sat May  8 12:09:31 2021,754,0.0,204,0
,0,0,Sat May  8 12:09:52 2021,778,0.0,128,2
,15,0,Sat May  8 12:10:34 2021,797,0.0,1011,0
,22,0,Sat May  8 12:11:55 2021,801,0.0,2191,2
